key_iso_alpha2,key_iso_alpha3,key_ioc,key_fifa,name_full_en
AD,AND,AND,AND,Andorra
AE,ARE,UAE,UAE,United Arab Emirates
AF,AFG,AFG,AFG,Afghanistan
AG,ATG,ANT,ATG,Antigua and Barbuda
AI,AIA,,AIA,Anguilla
AL,ALB,ALB,ALB,Albania
AM,ARM,ARM,ARM,Armenia
AO,AGO,ANG,ANG,Angola
AQ,ATA,,,Antarctica
AR,ARG,ARG,ARG,Argentina
AS,ASM,ASA,ASA,American Samoa
AT,AUT,AUT,AUT,Austria
AU,AUS,AUS,AUS,Australia
AW,ABW,ARU,ARU,Aruba
AX,ALA,,,Aland Islands
AZ,AZE,AZE,AZE,Azerbaijan
BA,BIH,BIH,BIH,Bosnia and Herzegovina
BB,BRB,BAR,BRB,Barbados
BD,BGD,BAN,BAN,Bangladesh
BE,BEL,BEL,BEL,Belgium